id,city,avg_high_tem,yf
299,青岛,25,09月
300,青岛,25,09月
301,青岛,27,09月
302,青岛,25,09月
303,青岛,26,09月
304,青岛,26,09月
305,青岛,26,09月
306,青岛,24,09月
307,青岛,26,09月
308,青岛,25,09月
309,青岛,24,09月
310,重庆,20,10月
311,重庆,18,10月
312,重庆,21,10月
313,重庆,19,10月
314,重庆,20,10月
315,重庆,22,10月
316,重庆,23,10月
317,重庆,23,10月
318,重庆,23,10月
319,重庆,20,10月
320,重庆,21,10月
321,上海,23,10月
322,上海,22,10月
323,上海,23,10月
324,上海,22,10月
325,上海,21,10月
326,上海,23,10月
327,上海,23,10月
328,上海,24,10月
329,上海,23,10月
330,上海,23,10月
331,上海,22,10月
332,青岛,19,10月
333,青岛,19,10月
334,青岛,20,10月
335,青岛,19,10月
336,青岛,17,10月
337,青岛,19,10月
338,青岛,20,10月
339,青岛,20,10月
340,青岛,20,10月
341,青岛,21,10月
342,青岛,19,10月
343,重庆,13,11月
344,重庆,18,11月
345,重庆,15,11月
346,重庆,15,11月
347,重庆,17,11月
348,重庆,16,11月
349,重庆,18,11月
350,重庆,15,11月
351,重庆,16,11月
352,重庆,15,11月
353,重庆,19,11月
354,上海,17,11月
355,上海,17,11月
356,上海,17,11月
357,上海,18,11月
358,上海,17,11月
359,上海,16,11月
360,上海,16,11月
361,上海,17,11月
362,上海,17,11月
363,上海,15,11月
364,上海,19,11月
365,青岛,13,11月
366,青岛,12,11月
367,青岛,13,11月
368,青岛,13,11月
369,青岛,12,11月
370,青岛,12,11月
371,青岛,11,11月
372,青岛,13,11月
373,青岛,12,11月
374,青岛,11,11月
375,青岛,14,11月
376,重庆,11,12月
377,重庆,9,12月
378,重庆,11,12月
379,重庆,10,12月
380,重庆,11,12月
381,重庆,13,12月
382,重庆,11,12月
383,重庆,11,12月
384,重庆,11,12月
385,重庆,11,12月
386,重庆,10,12月
387,上海,11,12月
388,上海,10,12月
389,上海,12,12月
390,上海,11,12月
391,上海,10,12月
392,上海,12,12月
393,上海,10,12月
394,上海,9,12月
395,上海,10,12月
396,上海,9,12月
397,上海,9,12月
398,青岛,7,12月
399,青岛,4,12月
400,青岛,7,12月
401,青岛,5,12月
402,青岛,5,12月
403,青岛,6,12月
404,青岛,6,12月
405,青岛,4,12月
406,青岛,5,12月
407,青岛,3,12月
408,青岛,4,12月
